t	moyenne BV
18989	24,3333333333
18990	38,6666666667
18991	8,75
18992	23,4166666667
18993	112,0833333333
18994	52,75
18995	85,1666666667
18996	25,0833333333
18997	49,75
18998	6,9166666667
18999	1,9166666667
19000	2,75
19001	8,5
19002	54,3333333333
19003	128,5833333333
19004	134,75
19005	3,5833333333
19006	13,4166666667
19007	4
19008	11,75
19009	10,5
19010	64,25
19011	37,0833333333
19012	18,75
19013	12,3333333333
19014	1,0833333333
19015	0,5
19016	0,25
19017	4,0833333333
19018	5,75
19019	25,75
19020	15,5833333333
19021	18,3333333333
19022	14,8333333333
19023	9
19024	118,0833333333
19025	54,75
19026	33
19027	48,6666666667
19028	16,6666666667
19029	1,4166666667
19030	7,9166666667
19031	52,1666666667
19032	18
19033	10,0833333333
19034	22,4166666667
19035	148,6666666667
19036	1,6666666667
19037	2,6666666667
19038	67,75
19039	5
19040	0
19041	51,25
19042	0,5
19043	2,0833333333
19044	0,5
19045	0
19046	0
19047	0
19048	0
19049	0
19050	0
19051	0
19052	0
19053	1,5
19054	0
19055	0
19056	0,4166666667
19057	42,25
19058	12,8333333333
19059	58,4166666667
19060	36,9166666667
19061	4,4166666667
19062	55,75
19063	4,25
19064	7,5
19065	0
19066	3,3333333333
19067	0
19068	2
19069	7,0833333333
19070	15,5833333333
19071	99,3333333333
19072	5,3333333333
19073	26
19074	24,4166666667
19075	32
19076	48
19077	77,5
19078	115,1666666667
19079	4,0833333333
19080	0,8333333333
19081	188,5833333333
19082	53,6666666667
19083	12,0833333333
19084	70
19085	18,3333333333
19086	3,3333333333
19087	0
19088	0
19089	2,5
19090	9,9166666667
19091	3
19092	0,4166666667
19093	0
19094	8,4166666667
19095	0
19096	1,3333333333
19097	0
19098	0
19099	5,25
19100	0
19101	10,3333333333
19102	0
19103	13,9166666667
19104	18,3333333333
19105	18,5833333333
19106	9,3333333333
19107	8,9166666667
19108	5,0833333333
19109	0,3333333333
19110	0
19111	0
19112	0
19113	0
19114	9,6666666667
19115	16
19116	55,5
19117	27,9166666667
19118	71,75
19119	31,5833333333
19120	28,75
19121	3,3333333333
19122	90,0833333333
19123	0,0833333333
19124	14
19125	23,4166666667
19126	11
19127	5,5
19128	0
19129	0
19130	0
19131	0
19132	0,1666666667
19133	9,8333333333
19134	0
19135	0
19136	0
19137	0
19138	0
19139	0
19140	3
19141	0
19142	6,1666666667
19143	0
19144	8,1666666667
19145	125,0833333333
19146	47,25
19147	6,5833333333
19148	0
19149	0
19150	27,9166666667
19151	63,5
19152	4,8333333333
19153	4,9166666667
19154	4,1666666667
19155	0
19156	0
19157	45,0833333333
19158	11,1666666667
19159	0
19160	8,3333333333
19161	0
19162	26,3333333333
19163	17,8333333333
19164	0
19165	0,3333333333
19166	0
19167	1,5833333333
19168	0,3333333333
19169	0
19170	0
19171	0
19172	0
19173	0
19174	0
19175	0
19176	0
19177	11,25
19178	30,8333333333
19179	14,1666666667
19180	1
19181	16,6666666667
19182	10,6666666667
19183	43,5833333333
19184	0
19185	0
19186	1,3333333333
19187	0,6666666667
19188	0,1666666667
19189	0
19190	0
19191	0
19192	0,3333333333
19193	2,3333333333
19194	0
19195	0
19196	0
19197	0
19198	0
19199	0
19200	0
19201	0
19202	3,25
19203	0,0833333333
19204	0
19205	0
19206	0
19207	0
19208	22,6666666667
19209	1,0833333333
19210	0
19211	67,9166666667
19212	77,0833333333
19213	22,6666666667
19214	7,5
19215	55,6666666667
19216	9
19217	1,4166666667
19218	4,5833333333
19219	137,6666666667
19220	32,9166666667
19221	16,3333333333
19222	29,4166666667
19223	6
19224	40,3333333333
19225	106,9166666667
19226	44,3333333333
19227	4,6666666667
19228	0
19229	0
19230	0
19231	0
19232	0
19233	0
19234	0
19235	6,0833333333
19236	14,0833333333
19237	1,25
19238	3,75
19239	0
19240	12,1666666667
19241	48,4166666667
19242	39,6666666667
19243	36
19244	36,4166666667
19245	45,5
19246	64
19247	59,0833333333
19248	30,3333333333
19249	12,75
19250	0
19251	9,0833333333
19252	0,8333333333
19253	0,4166666667
19254	11,5833333333
19255	15,25
19256	7,3333333333
19257	0
19258	57,8333333333
19259	0
19260	0,6666666667
19261	4,0833333333
19262	130,25
19263	126,0833333333
19264	88,75
19265	66
19266	55,0833333333
19267	85,3333333333
19268	17,3333333333
19269	45,5833333333
19270	14,25
19271	24,0833333333
19272	0,0833333333
19273	2,4166666667
19274	0
19275	0
19276	1,5833333333
19277	3,1666666667
19278	0
19279	77
19280	77,5833333333
19281	26,8333333333
19282	0
19283	6,5833333333
19284	0
19285	1,3333333333
19286	36,5833333333
19287	100,25
19288	7,1666666667
19289	126,3333333333
19290	34,6666666667
19291	46
19292	4,25
19293	1
19294	0
19295	17,9166666667
19296	12,25
19297	63,6666666667
19298	7,1666666667
19299	83,75
19300	93,3333333333
19301	10,5833333333
19302	3,1666666667
19303	4,4166666667
19304	52,1666666667
19305	27,5
19306	9
19307	15
19308	48,8333333333
19309	16,3333333333
19310	5,9166666667
19311	12,5
19312	14,3333333333
19313	0,8333333333
19314	4,0833333333
19315	3,1666666667
19316	23,4166666667
19317	43,5
19318	48,75
19319	80,5
19320	63,0833333333
19321	4,25
19322	4,8333333333
19323	145,5
19324	80,5
19325	58,5833333333
19326	15,0833333333
19327	49,75
19328	166,4166666667
19329	43,3333333333
19330	0,3333333333
19331	6,6666666667
19332	1
19333	0
19334	0,5833333333
19335	0
19336	0
19337	0
19338	12,1666666667
19339	45,6666666667
19340	155,5
19341	24,25
19342	10,0833333333
19343	39,8333333333
19344	156,1666666667
19345	47,8333333333
19346	23,1666666667
19347	96,5
19348	80
19349	18,3333333333
19350	10,5833333333
19351	34
19352	34,8333333333
19353	7,0833333333
19354	33,25
19355	15,75
19356	24,0833333333
19357	0
19358	0
19359	43,75
19360	8,0833333333
19361	4,25
19362	22,6666666667
19363	0,1666666667
19364	0,1666666667
19365	10,9166666667
19366	0,5833333333
19367	1,75
19368	22,8333333333
19369	5,8333333333
19370	0
19371	0
19372	0
19373	0
19374	1
19375	2,5833333333
19376	0,25
19377	0
19378	0
19379	0
19380	0
19381	0
19382	0
19383	0
19384	5,1666666667
19385	0
19386	3,6666666667
19387	0,8333333333
19388	0,1666666667
19389	9,5
19390	52,5
19391	12,5
19392	52,3333333333
19393	0,5833333333
19394	8,6666666667
19395	13,9166666667
19396	19,8333333333
19397	7,0833333333
19398	41,6666666667
19399	71,0833333333
19400	68,25
19401	70,75
19402	26,6666666667
19403	0,9166666667
19404	10,6666666667
19405	0
19406	0
19407	5
19408	15,8333333333
19409	18,9166666667
